username,bio,followers,following,posts,account_age_days,has_profile_pic,verified,digits_in_username,username_len,numeric_ratio,special_chars,bio_len,contains_link,contains_offer,contains_money,label
zelsocyrdaj9052,DM for offers. Limited time. Visit my site http://bit.ly/offer,12,63,8,203,0,0,4,15,0.26666666666666666,0,62,1,1,0,1
tushar.sharma,Software dev. Open to collaborations.,858,78,109,445,1,0,0,13,0.0,1,37,0,0,0,0
manish.das,Software dev. Open to collaborations.,1070,656,43,2323,0,0,0,10,0.0,1,37,0,0,0,0
tusharkumar,Foodie. Runner. Occasional poet.,206,71,50,1281,1,0,0,11,0.0,0,32,0,0,0,0
shop5085,"Best crypto signals, 100% profit https://tiny.one/deal",34,26,6,1,0,0,4,8,0.5,0,54,1,0,1,1
afiwzhq6548,Official reseller contact now,119,136,3,201,0,0,4,11,0.36363636363636365,0,29,0,0,0,1
johntech985,Buy followers cheap. Get verified now! contact now,13,557,28,97,0,0,3,11,0.2727272727272727,0,50,0,1,0,1
shop75584,DM for offers. Limited time. Visit my site contact now #free,13,651,9,521,1,0,5,9,0.5555555555555556,0,60,0,1,0,1
techreal679,"Best crypto signals, 100% profit visit my page",38,47,36,517,0,0,3,11,0.2727272727272727,0,46,0,0,1,1
newsjohn196,Work from home earn $$$ daily,19,103,0,611,0,0,3,11,0.2727272727272727,0,29,0,0,1,1
shopnews853,Click link to win free iPhone!!! https://tiny.one/deal,0,358,5,362,0,0,3,11,0.2727272727272727,0,54,1,1,0,1
anandmehta,Teaching coding to kids.,310,38,176,1696,0,0,0,10,0.0,0,24,0,0,0,0
rahulverma,Student | CSE | Learning every day,44,83,18,1071,1,0,0,10,0.0,0,34,0,0,1,0
agmwbkq3185,Official reseller contact now,129,1049,5,413,1,0,4,11,0.36363636363636365,0,29,0,0,0,1
tusharsingh,I love programming and hiking.,243,150,41,1621,1,0,0,11,0.0,0,30,0,0,0,0
mnoitlvxlxle7777,Work from home earn $$$ daily https://tiny.one/deal,4,1137,46,1,1,0,4,16,0.25,0,51,1,0,1,1
anand.chauhan,Teaching coding to kids. Based in India,128,258,341,2152,1,0,0,13,0.0,1,39,0,0,0,0
mohit.kumar,Foodie. Runner. Occasional poet.,654,302,154,1381,1,0,0,11,0.0,1,32,0,0,0,0
dothp6v,Official reseller contact now contact now,0,53,21,354,0,0,1,7,0.14285714285714285,0,41,0,0,0,1
dot0tvhhpbm,Official reseller contact now,0,87,15,414,0,0,1,11,0.09090909090909091,0,29,0,0,0,1
manish.verma,Foodie. Runner. Occasional poet.,76,249,40,2260,1,0,0,12,0.0,1,32,0,0,0,0
xxjlqm,Work from home earn $$$ daily contact now #giveaway,19,686,20,227,0,0,0,6,0.0,0,51,0,1,1,1
tushar.sharma,Student | CSE | Learning every day,252,19,68,1952,1,0,0,13,0.0,1,34,0,0,1,0
nehakaushal,Teaching coding to kids.,92,55,541,1902,1,0,0,11,0.0,0,24,0,0,0,0
amitkumar,Student | CSE | Learning every day,299,316,104,1008,1,0,0,9,0.0,0,34,0,0,1,0
rahulagarwal,Foodie. Runner. Occasional poet.,258,135,32,429,1,0,0,12,0.0,0,32,0,0,0,0
nehasingh,Student | CSE | Learning every day,10,207,29,1981,1,0,0,9,0.0,0,34,0,0,1,0
ravi.sharma,Helping startups grow. Ex-Product Manager. Always learning,846,615,369,1100,1,0,0,11,0.0,1,58,0,0,1,0
ravimehta,I love programming and hiking.,1020,662,287,1792,1,0,0,9,0.0,0,30,0,0,0,0
anandmehta,Design enthusiast. Likes cats and coffee.,104,97,285,459,1,0,0,10,0.0,0,41,0,0,0,0
xxqvnb4gh2m5,Official reseller contact now,40,1375,23,1,0,0,3,12,0.25,0,29,0,0,0,1
kogmslahkgr6046,Work from home earn $$$ daily visit my page,42,51,19,417,0,0,4,15,0.26666666666666666,0,43,0,0,1,1
_jeget1,DM for offers. Limited time. Visit my site contact now #offer,67,597,24,115,0,0,1,7,0.14285714285714285,1,61,0,1,0,1
rahul.patel,Design enthusiast. Likes cats and coffee. Open to connect,133,69,248,1443,1,0,0,11,0.0,1,57,0,0,0,0
arpitakumar,Student | CSE | Learning every day,733,143,104,1405,1,0,0,11,0.0,0,34,0,0,1,0
gwcbmp878,DM for offers. Limited time. Visit my site visit my page #free,80,524,24,169,1,0,3,9,0.3333333333333333,0,62,0,1,0,1
manishagarwal,I love programming and hiking.,123,94,14,1340,1,0,0,13,0.0,0,30,0,0,0,0
isha_gupta,Student | CSE | Learning every day,259,7,93,30,1,0,0,10,0.0,1,34,0,0,1,0
sara.patel,Student | CSE | Learning every day Always learning,268,6,5,1485,1,0,0,10,0.0,1,50,0,0,1,0
sslryuqr3241,Work from home earn $$$ daily https://tiny.one/deal,86,223,2,568,0,0,4,12,0.3333333333333333,0,51,1,0,1,1
mohit.kaushal,Design enthusiast. Likes cats and coffee.,72,195,13,1302,1,0,0,13,0.0,1,41,0,0,0,0
_ojtpv60va,DM for offers. Limited time. Visit my site,2,378,15,509,0,0,2,10,0.2,1,42,0,1,0,1
ravigupta,Photographer. Traveler. Mom of two.,1117,145,58,1863,1,0,0,9,0.0,0,35,0,0,0,0
dotqold,DM for offers. Limited time. Visit my site contact now #promo,79,157,11,1,0,0,0,7,0.0,0,61,0,1,0,1
anand.singh,Helping startups grow. Ex-Product Manager. Always learning,57,34,43,2529,1,0,0,11,0.0,1,58,0,0,1,0
dotgn1w,"Best crypto signals, 100% profit visit my page",39,626,21,213,0,0,1,7,0.14285714285714285,0,46,0,0,1,1
x9vif,"Get likes instantly, guaranteed results contact now #giveaway",47,272,5,595,0,0,1,5,0.2,0,61,0,1,0,1
yhskmmlde9820,"Get likes instantly, guaranteed results #giveaway",22,709,0,28,1,0,4,13,0.3076923076923077,0,49,0,1,0,1
ishasharma,Engineer. Coffee lover. Building stuff. Based in India,30,135,96,2697,1,0,0,10,0.0,0,54,0,0,0,0
saramehta,I love programming and hiking.,57,113,76,2434,1,0,0,9,0.0,0,30,0,0,0,0
arpitapatel,Foodie. Runner. Occasional poet. Always learning,13,93,147,2258,1,0,0,11,0.0,0,48,0,0,1,0
zdzicvcxa2361,Work from home earn $$$ daily,34,970,21,39,1,0,4,13,0.3076923076923077,0,29,0,0,1,1
rahulsharma,Student | CSE | Learning every day,264,563,128,1248,1,0,0,11,0.0,0,34,0,0,1,0
lifeguru908,"Best crypto signals, 100% profit http://bit.ly/offer",24,515,12,306,1,0,3,11,0.2727272727272727,0,52,1,1,1,1
rahulpatel,Student | CSE | Learning every day,146,649,353,1256,1,0,0,10,0.0,0,34,0,0,1,0
alexalex332,"Best crypto signals, 100% profit visit my page",10,35,2,1,1,0,3,11,0.2727272727272727,0,46,0,0,1,1
manish_chauhan,Student | CSE | Learning every day,115,372,3,1366,1,0,0,14,0.0,1,34,0,0,1,0
manish.kumar,Design enthusiast. Likes cats and coffee.,505,66,18,1961,1,0,0,12,0.0,1,41,0,0,0,0
rahul_chauhan,Helping startups grow. Ex-Product Manager.,629,265,244,2362,1,0,0,13,0.0,1,42,0,0,0,0
anand.gupta,Foodie. Runner. Occasional poet.,99,39,208,30,1,0,0,11,0.0,1,32,0,0,0,0
guruofficial22,"Best crypto signals, 100% profit #giveaway",74,208,53,1,0,0,2,14,0.14285714285714285,0,42,0,1,1,1
rahulpatel,Software dev. Open to collaborations.,586,112,208,873,1,0,0,10,0.0,0,37,0,0,0,0
sara.chauhan,Engineer. Coffee lover. Building stuff.,698,140,262,1409,1,0,0,12,0.0,1,39,0,0,0,0
mohit.gupta,Foodie. Runner. Occasional poet. Open to connect,115,451,73,983,1,0,0,11,0.0,1,48,0,0,0,0
johnofficial935,"Best crypto signals, 100% profit",149,1503,17,1,1,0,3,15,0.2,0,32,0,0,1,1
mohit_mehta,Software dev. Open to collaborations.,299,119,52,2163,1,0,0,11,0.0,1,37,0,0,0,0
priya.sharma,Foodie. Runner. Occasional poet. Loves music,418,313,233,242,1,0,0,12,0.0,1,44,0,0,0,0
manishyadav,Student | CSE | Learning every day,28,136,8,30,1,0,0,11,0.0,0,34,0,0,1,0
amit.agarwal,Student | CSE | Learning every day,655,86,18,2616,1,0,0,12,0.0,1,34,0,0,1,0
mohit.kumar,Engineer. Coffee lover. Building stuff.,46,286,144,853,1,0,0,11,0.0,1,39,0,0,0,0
sarayadav,I love programming and hiking.,517,244,12,1363,1,0,0,9,0.0,0,30,0,0,0,0
store80704,Work from home earn $$$ daily #offer,4,2157,9,446,1,0,5,10,0.5,0,36,0,1,1,1
jzjxqbhzyvcf9783,Click link to win free iPhone!!! visit my page #free,147,2134,27,1,0,0,4,16,0.25,0,52,0,1,0,1
fwidxawddg2858,Click link to win free iPhone!!! #giveaway,23,43,30,1,1,0,4,14,0.2857142857142857,0,42,0,1,0,1
manish.sharma,Design enthusiast. Likes cats and coffee. Always learning,710,23,101,2456,1,0,0,13,0.0,1,57,0,0,1,0
amitverma,Software dev. Open to collaborations.,10,126,8,2216,1,0,0,9,0.0,0,37,0,0,0,0
priyagupta,Engineer. Coffee lover. Building stuff.,262,654,70,1816,1,0,0,10,0.0,0,39,0,0,0,0
xlfew,"Get likes instantly, guaranteed results visit my page",16,1014,5,120,0,0,0,5,0.0,0,53,0,0,0,1
xz4x1zhqimq,Work from home earn $$$ daily,247,38,16,395,1,0,2,11,0.18181818181818182,0,29,0,0,1,1
xbvcctvopoi2002,Work from home earn $$$ daily contact now,174,370,19,1,0,0,4,15,0.26666666666666666,0,41,0,0,1,1
manish.gupta,I love programming and hiking. Always learning,296,175,347,2687,1,0,0,12,0.0,1,46,0,0,1,0
amitsingh,Foodie. Runner. Occasional poet.,13,65,450,1111,0,0,0,9,0.0,0,32,0,0,0,0
ravi.verma,Design enthusiast. Likes cats and coffee. Based in India,290,64,31,1981,1,0,0,10,0.0,1,56,0,0,0,0
john18786,"Get likes instantly, guaranteed results #giveaway",31,217,17,1,1,0,5,9,0.5555555555555556,0,49,0,1,0,1
isha_yadav,Design enthusiast. Likes cats and coffee.,504,230,26,1489,1,0,0,10,0.0,1,41,0,0,0,0
john20642,"Best crypto signals, 100% profit",120,864,59,322,1,0,5,9,0.5555555555555556,0,32,0,0,1,1
anandagarwal,I love programming and hiking. Always learning,162,539,301,2381,1,0,0,12,0.0,0,46,0,0,1,0
priya.chauhan,Software dev. Open to collaborations.,13,5,70,1436,1,1,0,13,0.0,1,37,0,0,0,0
dgiatejsnvub693,Work from home earn $$$ daily http://bit.ly/offer,23,1751,36,1,0,0,3,15,0.2,0,49,1,1,1,1
arpita_chauhan,Engineer. Coffee lover. Building stuff.,546,126,80,1113,1,0,0,14,0.0,1,39,0,0,0,0
arpita.sharma,Student | CSE | Learning every day Always learning,600,335,1225,1155,1,0,0,13,0.0,1,50,0,0,1,0
annareal797,DM for offers. Limited time. Visit my site http://bit.ly/offer,284,405,29,6,1,0,3,11,0.2727272727272727,0,62,1,1,0,1
amitdas,Photographer. Traveler. Mom of two. Open to connect,41,616,139,30,1,0,0,7,0.0,0,51,0,0,0,0
john82316,Work from home earn $$$ daily contact now,12,556,19,1,0,0,5,9,0.5555555555555556,0,41,0,0,1,1
manishsharma,Photographer. Traveler. Mom of two.,334,146,221,956,1,0,0,12,0.0,0,35,0,0,0,0
manish.kaushal,Student | CSE | Learning every day,220,382,120,2021,1,0,0,14,0.0,1,34,0,0,1,0
mohitchauhan,I love programming and hiking.,154,28,4,1332,1,0,0,12,0.0,0,30,0,0,0,0
tusharmehta,Software dev. Open to collaborations.,422,193,182,853,1,0,0,11,0.0,0,37,0,0,0,0
bot45025,Official reseller contact now https://tiny.one/deal #promo,0,215,17,1,0,0,5,8,0.625,0,58,1,0,0,1
manish.kumar,Design enthusiast. Likes cats and coffee.,149,115,351,1360,1,0,0,12,0.0,1,41,0,0,0,0
samreal96,"Get likes instantly, guaranteed results #free",76,252,19,1,1,0,2,9,0.2222222222222222,0,45,0,1,0,1
sara.sharma,Foodie. Runner. Occasional poet. Loves music,594,597,23,1188,1,0,0,11,0.0,1,44,0,0,0,0
sarachauhan,I love programming and hiking. Always learning,89,122,587,1837,1,1,0,11,0.0,0,46,0,0,1,0
ymfdcvcu8626,Click link to win free iPhone!!!,33,199,20,63,0,0,4,12,0.3333333333333333,0,32,0,1,0,1
sara.kumar,Photographer. Traveler. Mom of two.,41,27,24,1139,1,0,0,10,0.0,1,35,0,0,0,0
anand.agarwal,Teaching coding to kids. Open to connect,44,204,30,1797,1,0,0,13,0.0,1,40,0,0,0,0
nehasharma,Teaching coding to kids.,192,220,28,967,1,0,0,10,0.0,0,24,0,0,0,0
sara_patel,Design enthusiast. Likes cats and coffee. Always learning,64,8,27,547,1,0,0,10,0.0,1,57,0,0,1,0
official11003,"Best crypto signals, 100% profit contact now",4,64,12,1,1,0,5,13,0.38461538461538464,0,44,0,0,1,1
ljabngzjayvq2392,DM for offers. Limited time. Visit my site contact now,11,226,14,69,1,0,4,16,0.25,0,54,0,1,0,1
anand.agarwal,Student | CSE | Learning every day Open to connect,481,197,12,1233,1,0,0,13,0.0,1,50,0,0,1,0
priya.yadav,Design enthusiast. Likes cats and coffee. Loves music,620,507,9,1881,1,0,0,11,0.0,1,53,0,0,0,0
anand.singh,Teaching coding to kids.,413,40,35,703,1,0,0,11,0.0,1,24,0,0,0,0
lpgkrczb8618,"Get likes instantly, guaranteed results http://bit.ly/offer",23,331,19,1,0,0,4,12,0.3333333333333333,0,59,1,1,0,1
amitgupta,Student | CSE | Learning every day,412,7,43,30,1,0,0,9,0.0,0,34,0,0,1,0
arpita.sharma,Helping startups grow. Ex-Product Manager.,374,451,107,422,1,0,0,13,0.0,1,42,0,0,0,0
anand_das,Photographer. Traveler. Mom of two. Always learning,177,152,41,1263,1,0,0,9,0.0,1,51,0,0,1,0
tusharsharma,I love programming and hiking.,94,94,3,350,1,0,0,12,0.0,0,30,0,0,0,0
life43516,Buy followers cheap. Get verified now! visit my page,19,63,44,1,0,0,5,9,0.5555555555555556,0,52,0,1,0,1
_rr7s2,Official reseller contact now contact now,45,568,31,1,0,0,2,6,0.3333333333333333,1,41,0,0,0,1
amit.singh,Design enthusiast. Likes cats and coffee.,231,176,205,1197,1,0,0,10,0.0,1,41,0,0,0,0
amit.mehta,Helping startups grow. Ex-Product Manager.,169,27,50,2316,1,0,0,10,0.0,1,42,0,0,0,0
tusharsingh,I love programming and hiking.,253,88,645,152,1,0,0,11,0.0,0,30,0,0,0,0
xc2nnu,"Get likes instantly, guaranteed results contact now",46,135,2,1,1,0,1,6,0.16666666666666666,0,51,0,0,0,1
manishkumar,Design enthusiast. Likes cats and coffee. Loves music,52,41,50,699,1,0,0,11,0.0,0,53,0,0,0,0
priya.singh,Design enthusiast. Likes cats and coffee.,57,454,12,30,1,0,0,11,0.0,1,41,0,0,0,0
anand.patel,Student | CSE | Learning every day,1211,23,76,1747,1,0,0,11,0.0,1,34,0,0,1,0
lifereal726,Click link to win free iPhone!!! visit my page,174,1003,33,1,0,0,3,11,0.2727272727272727,0,46,0,1,0,1
arpita.chauhan,Helping startups grow. Ex-Product Manager.,331,530,122,773,1,0,0,14,0.0,1,42,0,0,0,0
xtn2twd,Buy followers cheap. Get verified now! contact now,42,164,29,1,0,0,1,7,0.14285714285714285,0,50,0,1,0,1
mohitkumar,Teaching coding to kids.,166,141,41,398,1,0,0,10,0.0,0,24,0,0,0,0
priyachauhan,Photographer. Traveler. Mom of two.,36,188,51,288,1,0,0,12,0.0,0,35,0,0,0,0
eisiyxvg9024,Buy followers cheap. Get verified now! visit my page,32,380,1,180,1,0,4,12,0.3333333333333333,0,52,0,1,0,1
manish.agarwal,Helping startups grow. Ex-Product Manager.,123,28,9,718,1,0,0,14,0.0,1,42,0,0,0,0
life75608,Buy followers cheap. Get verified now!,57,714,18,328,0,0,5,9,0.5555555555555556,0,38,0,1,0,1
anandchauhan,Design enthusiast. Likes cats and coffee.,191,106,64,1335,1,0,0,12,0.0,0,41,0,0,0,0
guru7862,DM for offers. Limited time. Visit my site contact now,9,34,27,126,1,0,4,8,0.5,0,54,0,1,0,1
gurureal998,Work from home earn $$$ daily visit my page,42,922,3,1,1,0,3,11,0.2727272727272727,0,43,0,0,1,1
official58939,DM for offers. Limited time. Visit my site http://bit.ly/offer #promo,8,89,33,276,0,0,5,13,0.38461538461538464,0,69,1,1,0,1
ipitmnmiaynz3524,"Get likes instantly, guaranteed results http://bit.ly/offer #promo",54,370,8,18,1,0,4,16,0.25,0,66,1,1,0,1
shop17565,Buy followers cheap. Get verified now!,84,289,9,384,1,0,5,9,0.5555555555555556,0,38,0,1,0,1
obnthzrd1584,Work from home earn $$$ daily visit my page,31,179,27,1,1,0,4,12,0.3333333333333333,0,43,0,0,1,1
xbz2s,DM for offers. Limited time. Visit my site,114,242,15,104,1,0,1,5,0.2,0,42,0,1,0,1
sarayadav,Design enthusiast. Likes cats and coffee.,710,195,18,1332,1,0,0,9,0.0,0,41,0,0,0,0
manish_gupta,Helping startups grow. Ex-Product Manager.,122,29,237,1655,0,0,0,12,0.0,1,42,0,0,0,0
arpitadas,Design enthusiast. Likes cats and coffee.,290,152,336,810,1,0,0,9,0.0,0,41,0,0,0,0
arpita_kaushal,Foodie. Runner. Occasional poet. Open to connect,112,57,204,1523,1,0,0,14,0.0,1,48,0,0,0,0
store41126,Work from home earn $$$ daily https://tiny.one/deal,1,421,28,1,0,0,5,10,0.5,0,51,1,0,1,1
arpita.das,Photographer. Traveler. Mom of two.,516,23,281,1863,1,0,0,10,0.0,1,35,0,0,0,0
ishasharma,I love programming and hiking.,40,101,239,858,1,0,0,10,0.0,0,30,0,0,0,0
ravi.das,Teaching coding to kids. Open to connect,384,254,153,757,1,0,0,8,0.0,1,40,0,0,0,0
rahulgupta,Teaching coding to kids.,355,156,43,353,1,0,0,10,0.0,0,24,0,0,0,0
rahul.gupta,I love programming and hiking.,717,175,76,789,0,0,0,11,0.0,1,30,0,0,0,0
sara.gupta,Student | CSE | Learning every day,185,588,24,1344,1,0,0,10,0.0,1,34,0,0,1,0
neha.verma,I love programming and hiking.,283,3,308,3314,1,0,0,10,0.0,1,30,0,0,0,0
nehakaushal,Software dev. Open to collaborations. Always learning,806,166,178,1373,1,0,0,11,0.0,0,53,0,0,1,0
sarakaushal,Photographer. Traveler. Mom of two.,49,171,139,1553,1,0,0,11,0.0,0,35,0,0,0,0
neha.gupta,Engineer. Coffee lover. Building stuff.,165,266,408,1127,1,0,0,10,0.0,1,39,0,0,0,0
arpita_kaushal,Photographer. Traveler. Mom of two.,36,837,273,1824,1,0,0,14,0.0,1,35,0,0,0,0
saradas,Engineer. Coffee lover. Building stuff. Loves music,39,507,305,3230,1,0,0,7,0.0,0,51,0,0,0,0
raviverma,Photographer. Traveler. Mom of two.,152,11,61,1619,1,0,0,9,0.0,0,35,0,0,0,0
lgetuotewxv8442,Buy followers cheap. Get verified now! http://bit.ly/offer #free,81,2,8,355,0,0,4,15,0.26666666666666666,0,64,1,1,0,1
tushar.gupta,Teaching coding to kids.,757,85,63,30,0,0,0,12,0.0,1,24,0,0,0,0
tushargupta,Engineer. Coffee lover. Building stuff.,401,120,38,299,1,0,0,11,0.0,0,39,0,0,0,0
arpitagupta,Design enthusiast. Likes cats and coffee.,58,137,81,1080,1,0,0,11,0.0,0,41,0,0,0,0
ananddas,I love programming and hiking.,738,90,130,386,1,0,0,8,0.0,0,30,0,0,0,0
nehachauhan,Student | CSE | Learning every day,973,32,80,1613,1,0,0,11,0.0,0,34,0,0,1,0
mohitkaushal,Software dev. Open to collaborations.,26,1153,104,657,1,0,0,12,0.0,0,37,0,0,0,0
mohit.chauhan,Teaching coding to kids. Always learning,415,47,342,1319,1,0,0,13,0.0,1,40,0,0,1,0
anand.agarwal,Teaching coding to kids.,68,42,5,3255,1,0,0,13,0.0,1,24,0,0,0,0
guru28570,"Get likes instantly, guaranteed results contact now",3,747,12,1,1,0,5,9,0.5555555555555556,0,51,0,0,0,1
mohit.mehta,Foodie. Runner. Occasional poet. Open to connect,222,116,76,257,1,0,0,11,0.0,1,48,0,0,0,0
ishasharma,Foodie. Runner. Occasional poet.,60,395,438,1362,1,0,0,10,0.0,0,32,0,0,0,0
ravi.sharma,I love programming and hiking.,140,63,154,910,1,0,0,11,0.0,1,30,0,0,0,0
tushargupta,Foodie. Runner. Occasional poet.,50,251,161,1144,1,0,0,11,0.0,0,32,0,0,0,0
annaguru783,Click link to win free iPhone!!! contact now,1,125,5,129,0,0,3,11,0.2727272727272727,0,44,0,1,0,1
neha.patel,Engineer. Coffee lover. Building stuff.,59,211,40,1095,1,0,0,10,0.0,1,39,0,0,0,0
shop57545,DM for offers. Limited time. Visit my site http://bit.ly/offer #offer,5,139,25,170,1,0,5,9,0.5555555555555556,0,69,1,1,0,1
manishsharma,Helping startups grow. Ex-Product Manager. Open to connect,151,220,34,1402,0,0,0,12,0.0,0,58,0,0,0,0
alexnews971,"Get likes instantly, guaranteed results",17,1133,0,1,0,0,3,11,0.2727272727272727,0,39,0,0,0,1
x7y2lof,Work from home earn $$$ daily contact now #free,111,850,8,629,1,0,2,7,0.2857142857142857,0,47,0,1,1,1
anandkaushal,I love programming and hiking.,90,95,133,1805,1,0,0,12,0.0,0,30,0,0,0,0
store48647,Click link to win free iPhone!!! https://tiny.one/deal #promo,26,401,11,1,0,0,5,10,0.5,0,61,1,1,0,1
mohitpatel,I love programming and hiking. Open to connect,104,593,216,1977,1,0,0,10,0.0,0,46,0,0,0,0
tusharpatel,Student | CSE | Learning every day,482,110,3,1175,1,0,0,11,0.0,0,34,0,0,1,0
arpita.patel,Software dev. Open to collaborations.,93,156,150,701,1,0,0,12,0.0,1,37,0,0,0,0
amit.gupta,I love programming and hiking.,540,832,111,865,1,0,0,10,0.0,1,30,0,0,0,0
amit.patel,Foodie. Runner. Occasional poet. Open to connect,56,63,2,30,1,1,0,10,0.0,1,48,0,0,0,0
manishagarwal,Software dev. Open to collaborations.,242,210,265,1641,1,0,0,13,0.0,0,37,0,0,0,0
ravi.chauhan,Teaching coding to kids.,69,2,22,2496,1,0,0,12,0.0,1,24,0,0,0,0
johnjohn737,"Get likes instantly, guaranteed results http://bit.ly/offer",54,96,49,571,0,0,3,11,0.2727272727272727,0,59,1,1,0,1
bot846,Work from home earn $$$ daily https://tiny.one/deal #free,27,241,14,1,1,0,3,6,0.5,0,57,1,1,1,1
amitkaushal,Teaching coding to kids.,277,56,73,1358,1,0,0,11,0.0,0,24,0,0,0,0
news94669,Buy followers cheap. Get verified now! visit my page #promo,17,219,25,272,0,0,5,9,0.5555555555555556,0,59,0,1,0,1
mohitsingh,I love programming and hiking. Based in India,193,217,414,30,1,0,0,10,0.0,0,45,0,0,0,0
dotizk3c9xb,Work from home earn $$$ daily contact now #giveaway,65,120,0,282,0,0,2,11,0.18181818181818182,0,51,0,1,1,1
_9967i6yu,Buy followers cheap. Get verified now! http://bit.ly/offer,2,342,18,1,1,0,5,9,0.5555555555555556,1,58,1,1,0,1
ravi.kaushal,Helping startups grow. Ex-Product Manager. Open to connect,122,294,16,1343,1,0,0,12,0.0,1,58,0,0,0,0
isha.singh,Software dev. Open to collaborations.,205,233,85,932,1,0,0,10,0.0,1,37,0,0,0,0
isha.das,Student | CSE | Learning every day,84,341,240,329,0,0,0,8,0.0,1,34,0,0,1,0
real79330,"Best crypto signals, 100% profit",44,223,1,378,0,0,5,9,0.5555555555555556,0,32,0,0,1,1
botstore502,DM for offers. Limited time. Visit my site contact now,124,73,60,1,0,0,3,11,0.2727272727272727,0,54,0,1,0,1
mohit.agarwal,Software dev. Open to collaborations.,234,412,197,1019,1,0,0,13,0.0,1,37,0,0,0,0
ravikumar,Student | CSE | Learning every day Based in India,492,215,176,837,1,0,0,9,0.0,0,49,0,0,1,0
john56499,Work from home earn $$$ daily contact now #giveaway,33,125,87,289,1,0,5,9,0.5555555555555556,0,51,0,1,1,1
shopalex298,Work from home earn $$$ daily http://bit.ly/offer,144,20,24,345,0,0,3,11,0.2727272727272727,0,49,1,1,1,1
